WinCC OA Recipe	CeliTunel	2016.10.28 15:59:29.219				Name:	RadoviLevaCev-DesnaTraka
Description:						Description:	
No.	Datapoint element	Description	Type	Unit	Min.	Max.	Set point
22	SysSarani:VMS2-D5.command.izbor_znaka	VMS2-D5.command.izbor_znaka	dyn_int		0	0	70
23	SysSarani:VMS3-D5.command.izbor_znaka	VMS3-D5.command.izbor_znaka	dyn_int		0	0	70
24	SysSarani:VMS4-1-D5.command.izbor_znaka	VMS4-1-D5.command.izbor_znaka	dyn_int		0	0	68
25	SysSarani:VMS4-2-D5.command.izbor_znaka	VMS4-2-D5.command.izbor_znaka	dyn_int		0	0	31
26	SysSarani:VMS5-1-D5.command.izbor_znaka	VMS5-1-D5.command.izbor_znaka	dyn_int		0	0	74
27	SysSarani:VMS5-2-D5.command.izbor_znaka	VMS5-2-D5.command.izbor_znaka	dyn_int		0	0	74
28	SysSarani:VMS6-D5.command.izbor_znaka	VMS6-D5.command.izbor_znaka	dyn_int		0	0	69
29	SysSarani:VMS7-D5.command.izbor_znaka	VMS7-D5.command.izbor_znaka	dyn_int		0	0	69
30	SysSarani:VMS1-1-D7.command.izbor_znaka	VMS1-1-D7.command.izbor_znaka	dyn_int		0	0	68
31	SysSarani:VMS1-2-D7.command.izbor_znaka	VMS1-2-D7.command.izbor_znaka	dyn_int		0	0	31
32	SysSarani:VMS2-D7.command.izbor_znaka	VMS2-D7.command.izbor_znaka	dyn_int		0	0	70
33	SysSarani:VMS3-D7.command.izbor_znaka	VMS3-D7.command.izbor_znaka	dyn_int		0	0	70
34	SysSarani:VMS4-1-D7.command.izbor_znaka	VMS4-1-D7.command.izbor_znaka	dyn_int		0	0	68
35	SysSarani:VMS4-2-D7.command.izbor_znaka	VMS4-2-D7.command.izbor_znaka	dyn_int		0	0	31
36	SysSarani:VMS5-1-D7.command.izbor_znaka	VMS5-1-D7.command.izbor_znaka	dyn_int		0	0	74
37	SysSarani:VMS5-2-D7.command.izbor_znaka	VMS5-2-D7.command.izbor_znaka	dyn_int		0	0	74
38	SysSarani:VMS6-D7.command.izbor_znaka	VMS6-D7.command.izbor_znaka	dyn_int		0	0	69
39	SysSarani:VMS7-D7.command.izbor_znaka	VMS7-D7.command.izbor_znaka	dyn_int		0	0	69
