# ascii dump of database

# Aliases/Comments
AliasId	AliasName	CommentName
_Event_2.License.RemainingTime	""	lt:2 LANG:10024 "@@min" LANG:10027 "@@min" 
_DpGroup00001_Public.	"Alerts"	lt:2 LANG:10024 "Alerts@%s@" LANG:10027 "Alerts@%s@" 
_DpGroup00002_Public.	"Parameters"	lt:2 LANG:10024 "Parameters@%s@" LANG:10027 "Parameters@%s@" 
_DpGroup00003_Public.	"Commands"	lt:2 LANG:10024 "Commands@%s@" LANG:10027 "Commands@%s@" 
_DpGroup00004_Public.	"States"	lt:2 LANG:10024 "States@%s@" LANG:10027 "States@%s@" 
_DpGroup00005_Public.	"Values"	lt:2 LANG:10024 "Values@%s@" LANG:10027 "Values@%s@" 
_DpGroup00006_Public.	"OPCRead"	lt:2 LANG:10024 "OPCRead@%s@" LANG:10027 "OPCRead@%s@" 
_DpGroup00007_Public.	"OPCWrite"	lt:2 LANG:10024 "OPCWrite@%s@" LANG:10027 "OPCWrite@%s@" 
_DpGroup00008_Public.	"SplitGet"	lt:2 LANG:10024 "SplitGet@%s@" LANG:10027 "SplitGet@%s@" 
_DpGroup00009_Public.	"SplitConnect"	lt:2 LANG:10024 "SplitConnect@%s@" LANG:10027 "SplitConnect@%s@" 
_DpGroup00010_Public.	"OPC_AE"	lt:2 LANG:10024 "OPC_AE@%s@" LANG:10027 "OPC_AE@%s@" 
_DpGroup00011_Public.	"OPC_AE_Simple"	lt:2 LANG:10024 "OPC_AE_Simple@%s@" LANG:10027 "OPC_AE_Simple@%s@" 
_DpGroup00012_Public.	"SplitGet_2"	lt:2 LANG:10024 "SplitGet_2@%s@" LANG:10027 "SplitGet_2@%s@" 
_DpGroup00013_Public.	"SplitConnect_2"	lt:2 LANG:10024 "SplitConnect_2@%s@" LANG:10027 "SplitConnect_2@%s@" 
_DpGroup00014_Public.	"OPCUARead"	lt:2 LANG:10024 "OPCUARead@%s@" LANG:10027 "OPCUARead@%s@" 
_DpGroup00015_Public.	"OPCUAWrite"	lt:2 LANG:10024 "OPCUAWrite@%s@" LANG:10027 "OPCUAWrite@%s@" 
_DpGroup00016_Public.	"OPCUAAlarm"	lt:2 LANG:10024 "OPCUAAlarm@%s@" LANG:10027 "OPCUAAlarm@%s@" 
_DpGroup00017_Public.	"OPCHDARead"	lt:2 LANG:10024 "OPCHDARead@%s@" LANG:10027 "OPCHDARead@%s@" 
_mp_WH_SC_SUB.value	""	lt:2 LANG:10024 "@@h" LANG:10027 "@@ч" 
_mp_WH_SC1.wh.value	""	lt:2 LANG:10024 "@@h" LANG:10027 "@@ч" 
_mp_ANALOG1.value	""	lt:2 LANG:10024 "_mp_ANALOG1 Comment @%5.2f@" LANG:10027 "_mp_ANALOG1 Комментарий @%5.2f@" 
_mp_ANALOG2.analog.value	""	lt:2 LANG:10024 "_mp_ANALOG2 Comment @%5.2f@" LANG:10027 "_mp_ANALOG2 Комментарий @%5.2f@" 
_mp_DRIVE1.value.speed	""	lt:2 LANG:10024 "Speed@%3.0f@1/min" LANG:10027 "Обороты@%3.0f@1/мин" 
_mp_DRIVE1.value.powerCon	""	lt:2 LANG:10024 "Power consumption@%3.1f@A" LANG:10027 "Потребляемый ток@%3.1f@A" 
