Time	WCCILevent - %CPU	WCCILevent - Memory	VC/sec
2017.03.28 09:02:00.000	0.00	500848	-1
2017.03.28 09:03:00.000	86.67	500848	-1
2017.03.28 09:04:00.000	65.00	500848	-1
2017.03.28 09:05:00.000	65.00	500848	-1
2017.03.28 09:06:00.000	65.00	500848	-1
2017.03.28 09:07:00.000	65.57	500848	-1
2017.03.28 09:08:00.000	67.80	500848	-1
2017.03.28 09:09:00.000	70.00	500848	-1
2017.03.28 09:10:00.000	70.00	500848	-1
2017.03.28 09:11:00.000	67.21	500848	-1
2017.03.28 09:12:00.000	68.33	500848	-1
2017.03.28 09:13:00.000	70.00	500848	-1
2017.03.28 09:14:00.000	69.49	500848	-1
2017.03.28 09:15:00.000	67.21	500848	-1
2017.03.28 09:16:00.000	69.49	500848	-1
2017.03.28 09:17:00.000	59.02	497888	-1
