Time	WCCILevent - %CPU	WCCILevent - Memory	VC/sec
2017.02.22 09:30:00.000	0.00	494444	-1
2017.02.22 09:31:00.000	81.67	495000	-1
2017.02.22 09:32:00.000	68.33	495000	-1
2017.02.22 09:33:00.000	66.67	495000	-1
2017.02.22 09:34:00.000	61.67	495000	-1
2017.02.22 09:35:00.000	63.33	495000	-1
2017.02.22 09:36:00.000	61.67	495000	-1
2017.02.22 09:37:00.000	63.33	495000	-1
2017.02.22 09:38:00.000	61.67	495000	-1
2017.02.22 09:39:00.000	63.33	495000	-1
2017.02.22 09:40:00.000	61.67	495000	-1
2017.02.22 09:41:00.000	63.33	495000	-1
2017.02.22 09:42:00.000	61.67	495000	-1
2017.02.22 09:43:00.000	61.67	495000	-1
2017.02.22 09:44:00.000	63.33	495000	-1
2017.02.22 09:45:00.000	61.67	495000	-1
2017.02.22 09:46:00.000	61.67	495000	-1
2017.02.22 09:47:00.000	63.33	495000	-1
2017.02.22 09:48:00.000	61.67	495000	-1
2017.02.22 09:49:00.000	63.33	495000	-1
2017.02.22 09:50:00.000	61.67	495000	-1
2017.02.22 09:51:00.000	63.33	495000	-1
2017.02.22 09:52:00.000	61.67	495000	-1
2017.02.22 09:53:00.000	61.67	495000	-1
2017.02.22 09:54:00.000	63.33	495000	-1
2017.02.22 09:55:00.000	61.67	495000	-1
2017.02.22 09:56:00.000	63.33	495000	-1
2017.02.22 09:57:00.000	61.67	495000	-1
2017.02.22 09:58:00.000	61.67	495000	-1
2017.02.22 09:59:00.000	63.33	495000	-1
2017.02.22 10:00:00.000	61.67	495000	-1
2017.02.22 10:01:00.000	63.33	495000	-1
2017.02.22 10:02:00.000	61.67	495000	-1
2017.02.22 10:03:00.000	61.67	495000	-1
2017.02.22 10:04:00.000	61.67	495000	-1
2017.02.22 10:05:00.000	63.33	495000	-1
2017.02.22 10:06:00.000	60.00	495000	-1
2017.02.22 10:07:00.000	58.33	495000	-1
2017.02.22 10:08:00.000	58.33	495000	-1
