WinCC OA Recipe	DesnaCev	2016.08.19 16:36:33.531
Description	
No.	Datapoint element	Description	Type	Unit	Min.	Max.
51	SysSarani:VMS2-TKD3.command.izbor_znaka	SysSarani:VMS2-TKD3.command.izbor_znaka	dyn_int		0	0
52	SysSarani:VMS3-TKD3.command.izbor_znaka	SysSarani:VMS3-TKD3.command.izbor_znaka	dyn_int		0	0
53	SysSarani:VMS4-TKD3.command.izbor_znaka	SysSarani:VMS4-TKD3.command.izbor_znaka	dyn_int		0	0
54	SysSarani:VMS5-TKD3.command.izbor_znaka	SysSarani:VMS5-TKD3.command.izbor_znaka	dyn_int		0	0
55	SysSarani:VMS6-TKD3.command.izbor_znaka	SysSarani:VMS6-TKD3.command.izbor_znaka	dyn_int		0	0
56	SysSarani:VMS4-OAL.command.izbor_znaka	SysSarani:VMS4-OAL.command.izbor_znaka	dyn_int		0	0
57	SysSarani:VMS5-OAL.command.izbor_znaka	SysSarani:VMS5-OAL.command.izbor_znaka	dyn_int		0	0
58	SysSarani:S1-TKD1.command.sdv.crveno	SysSarani:S1-TKD1.command.sdv.crveno	bool		0	0
59	SysSarani:S1-TKD1.command.sdv.zuto.on	SysSarani:S1-TKD1.command.sdv.zuto.on	bool		0	0
60	SysSarani:S1-TKD1.command.sdv.zeleno	SysSarani:S1-TKD1.command.sdv.zeleno	bool		0	0
61	SysSarani:S2-TKD1.command.sdv.crveno	SysSarani:S2-TKD1.command.sdv.crveno	bool		0	0
62	SysSarani:S2-TKD1.command.sdv.zuto.on	SysSarani:S2-TKD1.command.sdv.zuto.on	bool		0	0
63	SysSarani:S2-TKD1.command.sdv.zeleno	SysSarani:S2-TKD1.command.sdv.zeleno	bool		0	0
64	SysSarani:S3-TKD1.command.sdv.crveno	SysSarani:S3-TKD1.command.sdv.crveno	bool		0	0
65	SysSarani:S3-TKD1.command.sdv.zuto.on	SysSarani:S3-TKD1.command.sdv.zuto.on	bool		0	0
66	SysSarani:S3-TKD1.command.sdv.zeleno	SysSarani:S3-TKD1.command.sdv.zeleno	bool		0	0
67	SysSarani:S4-TKD1.command.sdv.crveno	SysSarani:S4-TKD1.command.sdv.crveno	bool		0	0
68	SysSarani:S4-TKD1.command.sdv.zuto.on	SysSarani:S4-TKD1.command.sdv.zuto.on	bool		0	0
69	SysSarani:S4-TKD1.command.sdv.zeleno	SysSarani:S4-TKD1.command.sdv.zeleno	bool		0	0
70	SysSarani:S1-D4.command.sdv.crveno	SysSarani:S1-D4.command.sdv.crveno	bool		0	0
71	SysSarani:S1-D4.command.sdv.zuto.on	SysSarani:S1-D4.command.sdv.zuto.on	bool		0	0
72	SysSarani:S1-D4.command.sdv.zeleno	SysSarani:S1-D4.command.sdv.zeleno	bool		0	0
73	SysSarani:S2-D4.command.sdv.crveno	SysSarani:S2-D4.command.sdv.crveno	bool		0	0
74	SysSarani:S2-D4.command.sdv.zuto.on	SysSarani:S2-D4.command.sdv.zuto.on	bool		0	0
75	SysSarani:S2-D4.command.sdv.zeleno	SysSarani:S2-D4.command.sdv.zeleno	bool		0	0
76	SysSarani:S1-TKD3.command.sdv.crveno	SysSarani:S1-TKD3.command.sdv.crveno	bool		0	0
77	SysSarani:S1-TKD3.command.sdv.zuto.on	SysSarani:S1-TKD3.command.sdv.zuto.on	bool		0	0
78	SysSarani:S1-TKD3.command.sdv.zeleno	SysSarani:S1-TKD3.command.sdv.zeleno	bool		0	0
79	SysSarani:S2-TKD3.command.sdv.crveno	SysSarani:S2-TKD3.command.sdv.crveno	bool		0	0
80	SysSarani:S2-TKD3.command.sdv.zuto.on	SysSarani:S2-TKD3.command.sdv.zuto.on	bool		0	0
81	SysSarani:S2-TKD3.command.sdv.zeleno	SysSarani:S2-TKD3.command.sdv.zeleno	bool		0	0
WinCC OA Recipe	LevaCev	2016.08.19 16:36:33.535
Description	
No.	Datapoint element	Description	Type	Unit	Min.	Max.
